phone,base,count,tags
n,n,85362,consonant; len-1
m,m,62330,consonant; len-1
k,k,60018,consonant; len-1
t,t,56464,consonant; len-1
l,l,46783,consonant; len-1
r,r,46471,consonant; len-1
s,s,35068,consonant; len-1
b,b,33264,consonant; len-1
d,d,26920,consonant; len-1
N,N,26110,consonant; len-1
p,p,25686,consonant; len-1
g,g,23591,consonant; len-1
h,h,21714,consonant; len-1
7,7,15205,consonant; len-1
S,S,10098,consonant; len-1
C,C,8781,consonant; len-1
f,f,8453,consonant; len-1
x,x,7976,consonant; len-1
5,5,7798,consonant; len-1
v,v,6761,consonant; len-1
c,c,6646,consonant; len-1
z,z,6333,consonant; len-1
j,j,6041,consonant; len-1
q,q,3586,consonant; len-1
L,L,3192,consonant; len-1
T,T,3124,consonant; len-1
X,X,2580,consonant; len-1
8,8,1679,consonant; len-1
Z,Z,1623,consonant; len-1
!,!,618,consonant; len-1
4,4,200,consonant; len-1
G,G,187,consonant; len-1
kh,k,2149,consonant; len-1; aspirated/devoiced
th,t,1914,consonant; len-1; aspirated/devoiced
ph,p,912,consonant; len-1; aspirated/devoiced
Ch,C,478,consonant; len-1; aspirated/devoiced
ch,c,421,consonant; len-1; aspirated/devoiced
dh,d,193,consonant; len-1; aspirated/devoiced
Th,T,187,consonant; len-1; aspirated/devoiced
gh,g,116,consonant; len-1; aspirated/devoiced
qh,q,111,consonant; len-1; aspirated/devoiced
sh,s,102,consonant; len-1; aspirated/devoiced
bh,b,98,consonant; len-1; aspirated/devoiced
nh,n,96,consonant; len-1; aspirated/devoiced
mh,m,54,consonant; len-1; aspirated/devoiced
lh,l,44,consonant; len-1; aspirated/devoiced
rh,r,43,consonant; len-1; aspirated/devoiced
Sh,S,31,consonant; len-1; aspirated/devoiced
Nh,N,22,consonant; len-1; aspirated/devoiced
!h,!,18,consonant; len-1; aspirated/devoiced
zh,z,15,consonant; len-1; aspirated/devoiced
xh,x,13,consonant; len-1; aspirated/devoiced
fh,f,12,consonant; len-1; aspirated/devoiced
8h,8,11,consonant; len-1; aspirated/devoiced
Zh,Z,8,consonant; len-1; aspirated/devoiced
vh,v,7,consonant; len-1; aspirated/devoiced
jh,j,6,consonant; len-1; aspirated/devoiced
5h,5,2,consonant; len-1; aspirated/devoiced
7h,7,2,consonant; len-1; aspirated/devoiced
Lh,L,2,consonant; len-1; aspirated/devoiced
S"h,S,1,consonant; len-1; aspirated/devoiced; glottalized
t"h,t,1,consonant; len-1; aspirated/devoiced; glottalized
k",k,1500,consonant; len-1; glottalized
b",b,1281,consonant; len-1; glottalized
c",c,907,consonant; len-1; glottalized
t",t,641,consonant; len-1; glottalized
C",C,640,consonant; len-1; glottalized
q",q,573,consonant; len-1; glottalized
d",d,473,consonant; len-1; glottalized
p",p,189,consonant; len-1; glottalized
L",L,119,consonant; len-1; glottalized
n",n,97,consonant; len-1; glottalized
s",s,89,consonant; len-1; glottalized
m",m,65,consonant; len-1; glottalized
T",T,53,consonant; len-1; glottalized
l",l,38,consonant; len-1; glottalized
!",!,28,consonant; len-1; glottalized
8",8,28,consonant; len-1; glottalized
g",g,18,consonant; len-1; glottalized
h",h,15,consonant; len-1; glottalized
S",S,12,consonant; len-1; glottalized
N",N,10,consonant; len-1; glottalized
j",j,7,consonant; len-1; glottalized
x",x,7,consonant; len-1; glottalized
5",5,6,consonant; len-1; glottalized
X",X,6,consonant; len-1; glottalized
r",r,5,consonant; len-1; glottalized
z",z,4,consonant; len-1; glottalized
7",7,1,consonant; len-1; glottalized
f",f,1,consonant; len-1; glottalized
kw,k,1639,consonant; len-1; labialized
gw,g,629,consonant; len-1; labialized
bw,b,438,consonant; len-1; labialized
mw,m,406,consonant; len-1; labialized
xw,x,284,consonant; len-1; labialized
tw,t,273,consonant; len-1; labialized
Nw,N,230,consonant; len-1; labialized
nw,n,228,consonant; len-1; labialized
pw,p,203,consonant; len-1; labialized
fw,f,190,consonant; len-1; labialized
sw,s,187,consonant; len-1; labialized
qw,q,170,consonant; len-1; labialized
hw,h,147,consonant; len-1; labialized
dw,d,102,consonant; len-1; labialized
5w,5,83,consonant; len-1; labialized
Xw,X,79,consonant; len-1; labialized
Cw,C,66,consonant; len-1; labialized
lw,l,66,consonant; len-1; labialized
vw,v,65,consonant; len-1; labialized
Sw,S,52,consonant; len-1; labialized
rw,r,48,consonant; len-1; labialized
cw,c,32,consonant; len-1; labialized
jw,j,31,consonant; len-1; labialized
zw,z,27,consonant; len-1; labialized
7w,7,26,consonant; len-1; labialized
Tw,T,17,consonant; len-1; labialized
Zw,Z,12,consonant; len-1; labialized
!w,!,8,consonant; len-1; labialized
8w,8,4,consonant; len-1; labialized
Gw,G,2,consonant; len-1; labialized
Lw,L,1,consonant; len-1; labialized
khw,k,81,consonant; len-1; labialized; aspirated/devoiced
thw,t,10,consonant; len-1; labialized; aspirated/devoiced
qhw,q,9,consonant; len-1; labialized; aspirated/devoiced
kwh,k,5,consonant; len-1; labialized; aspirated/devoiced
nhw,n,4,consonant; len-1; labialized; aspirated/devoiced
!hw,!,2,consonant; len-1; labialized; aspirated/devoiced
bhw,b,2,consonant; len-1; labialized; aspirated/devoiced
swh,s,2,consonant; len-1; labialized; aspirated/devoiced
Chw,C,1,consonant; len-1; labialized; aspirated/devoiced
Gwh,G,1,consonant; len-1; labialized; aspirated/devoiced
Nhw,N,1,consonant; len-1; labialized; aspirated/devoiced
chw,c,1,consonant; len-1; labialized; aspirated/devoiced
mwh,m,1,consonant; len-1; labialized; aspirated/devoiced
phw,p,1,consonant; len-1; labialized; aspirated/devoiced
vhw,v,1,consonant; len-1; labialized; aspirated/devoiced
zwh,z,1,consonant; len-1; labialized; aspirated/devoiced
thw*,t,1,consonant; len-1; labialized; aspirated/devoiced; nasalized
k"w,k,82,consonant; len-1; labialized; glottalized
q"w,q,73,consonant; len-1; labialized; glottalized
c"w,c,12,consonant; len-1; labialized; glottalized
b"w,b,4,consonant; len-1; labialized; glottalized
t"w,t,4,consonant; len-1; labialized; glottalized
C"w,C,3,consonant; len-1; labialized; glottalized
!"w,!,2,consonant; len-1; labialized; glottalized
S"w,S,1,consonant; len-1; labialized; glottalized
Sw",S,1,consonant; len-1; labialized; glottalized
g"w,g,1,consonant; len-1; labialized; glottalized
h"w,h,1,consonant; len-1; labialized; glottalized
kw",k,1,consonant; len-1; labialized; glottalized
qw",q,1,consonant; len-1; labialized; glottalized
tw",t,1,consonant; len-1; labialized; glottalized
x"w,x,1,consonant; len-1; labialized; glottalized
xw",x,1,consonant; len-1; labialized; glottalized
Nw*,N,1,consonant; len-1; labialized; nasalized
hw*,h,1,consonant; len-1; labialized; nasalized
hwy,h,4,consonant; len-1; labialized; palatalized
kwy,k,1,consonant; len-1; labialized; palatalized
zwy,z,1,consonant; len-1; labialized; palatalized
XwX,X,3,consonant; len-1; labialized; pharyngealized
qwX,q,1,consonant; len-1; labialized; pharyngealized
qXw,q,1,consonant; len-1; labialized; pharyngealized
q"wX,q,2,consonant; len-1; labialized; pharyngealized; glottalized
Nxw,N,3,consonant; len-1; labialized; velarized
