doculect_name,current,merge_vowels,double_monophthongs
Bedja Bedawi,9.9989,9.9989,11.7943
Beja,9.9249,9.9249,11.7712
Beja 2,10.5131,10.5131,12.1833
Awjilah,8.9571,8.9571,10.6868
Ayt Seghrouchen,8.6096,8.5283,10.0431
Beni Snous Western Algerian Berber,8.7180,8.7180,10.3495
Chaoui,8.7060,8.6851,10.4680
Chenoua,9.3881,9.2253,11.0256
Figuig,8.8650,8.8650,10.4947
Foqaha,9.3299,9.3299,11.0351
Ghadames,10.0602,10.0602,11.7625
Ghadames 2,9.7900,9.7900,11.3731
Ghomara,9.6046,9.6046,11.3134
Jebel Nefusa,9.1451,9.1451,10.9725
Kabyle,9.5122,9.5122,11.1427
Kabyle Greater Kabylia At Mangellat,9.0009,9.0009,10.6120
Nafusi,8.7194,8.7194,10.3747
Ouargla Berber,8.2849,8.2849,9.9504
Sened,8.8747,8.7304,10.5561
Senhaja De Srair,9.4077,9.4077,11.1404
Senhayi,8.7784,8.7784,10.3423
Siwa Berber,8.5376,8.5376,10.2149
Siwi,9.0542,9.0162,10.7019
Tamahaq Tahaggart,10.0454,10.0454,11.8266
Tamahaq Tahaggart 2,9.9359,9.9176,11.5406
Tamajeq Tayart Air,9.1142,9.1142,10.8754
Tamasheq,9.6317,9.6317,11.3894
Tamasheq 2,10.2072,9.9314,11.8496
Tamazight Central Atlas Ayt Izdeg,9.6925,9.6925,11.3857
Tamazight Central Atlas Ayt Ndhir,9.1029,9.1029,10.7725
Tamazight Central Atlas Ntifa,8.6162,8.6162,10.2251
Tarifit Beni Iznassen,9.0826,9.0826,10.6568
Tarifit Guelaia,8.7996,8.7234,10.4539
Tashelhit Ida Usemlal,8.3141,8.3141,9.9183
Taznatit,8.9758,8.9758,10.6533
Tetserret,9.1916,9.1916,10.9360
Tumzabt,8.7821,8.7821,10.4152
Wargla,8.3289,8.2817,9.8077
Zenaga,8.3344,8.3344,10.1237
Zenaga 2,8.9379,8.9379,10.6238
Afade,10.4020,10.2787,12.1451
Bacama,10.3513,10.3513,11.9901
Bacama Mulyen,10.1487,10.0645,11.9054
Bana,9.7321,9.7321,11.2158
Bana 2,9.4894,9.4894,11.2282
Bata Malabu,10.3350,10.0496,11.8033
Bata Zumu,10.2216,10.2216,12.0173
Bazza,10.1247,10.1247,11.7534
Boga,10.2218,10.2218,11.9122
Buduma,10.9118,10.3971,12.2144
Buduma 2,11.2405,10.7246,12.5548
Bura,10.0246,10.0246,11.7074
Buwal,9.7257,9.7257,11.5232
Cibak,10.1373,10.0840,11.7922
Cineni,11.2408,11.2408,12.8254
Cuvok,10.5389,10.5389,12.1572
Daba,9.7168,9.7168,11.3134
Daba Dkx,9.6385,9.6385,11.2462
Dghwede,10.4303,10.4303,12.2315
Dugwor 2,11.2616,10.1607,11.9279
Fali Bagira,9.1857,9.1857,10.8513
Fali Gili,9.4479,9.4479,11.1859
Fali Kiriya,9.6413,9.6413,11.3163
Fali Muchella,9.9299,9.9299,11.6462
Futu,9.5926,9.5926,11.2883
Gaanda,10.9583,10.9583,12.5548
Gaanda Gabin,10.5108,10.5108,12.0653
Gava,10.8498,10.8498,12.5003
Ghye,9.9804,9.9804,11.6967
Gidar,10.2521,10.2521,11.8235
Glavda,11.0517,11.0320,12.7584
Gude,10.1604,10.1080,11.8126
Gudu,10.0253,9.9172,11.5850
Gvoko,10.6064,10.5580,12.2125
Hdi,9.6974,9.6974,11.3671
Hildi,10.5002,10.5002,12.0710
Holma,9.5500,9.5500,11.3699
Huba,10.4080,10.4080,12.0756
