Genus,Family,Index0,Index1,Index2,Index3,Index4,T,T_max,T_min,T_sd,T_diff,Method,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
AA.BEJA,AA,10.1456,40.1119,3.1849,1.6699,1.9398,27.6717,33.8383,21.0237,4.4022,12.8146,mean,-0.2581,0.1213,-0.5742,-0.7094,-0.5379,1.2439,2.6238,0.0659,1.0808,1.0933
AA.BEJA,AA,9.9989,39.2879,3.1505,1.6608,1.9230,27.9870,33.9915,21.6582,4.1483,12.3333,median,-0.4472,-0.0694,-0.7365,-0.8395,-0.6881,1.3495,2.6863,0.1814,1.0259,1.0581
AA.BERBER,AA,9.0929,32.5665,2.9714,1.6191,1.8415,19.5061,28.5561,10.7075,6.3802,17.8486,mean,-1.5533,-1.6581,-1.5555,-1.4117,-1.4149,-0.7394,0.7646,-1.2405,1.4121,1.3993
AA.BERBER,AA,9.0009,31.4309,2.9740,1.6209,1.8408,20.3576,28.3574,10.7224,6.4735,18.0214,median,-1.6597,-1.9330,-1.5441,-1.3882,-1.4207,-0.5915,0.7055,-1.2393,1.4247,1.4082
AA.BIU-MANDARA,AA,10.1320,37.6646,3.2368,1.7019,1.9528,26.7541,31.0268,23.7065,2.5151,7.3203,mean,-0.2758,-0.4476,-0.3257,-0.2396,-0.4217,0.9504,1.5638,0.5888,0.5424,0.5809
AA.BIU-MANDARA,AA,10.0890,37.0615,3.2288,1.7027,1.9447,26.7997,30.7823,23.7261,2.4619,7.1108,median,-0.3314,-0.5889,-0.3642,-0.2280,-0.4941,0.9645,1.4794,0.5929,0.5209,0.5545
AA.BLUE_NILE_MAO,AA,10.3529,38.1864,3.2917,1.6884,2.0185,22.0407,25.6748,19.1795,2.3087,6.4953,mean,0.0138,-0.3257,-0.0589,-0.4407,0.1672,-0.2631,-0.0223,-0.2435,0.4557,0.4723
AA.BLUE_NILE_MAO,AA,10.2701,38.1116,3.2704,1.6852,2.0179,21.3295,24.9451,18.4035,2.3026,6.5159,median,-0.0955,-0.3431,-0.1628,-0.4879,0.1618,-0.4079,-0.1981,-0.3625,0.4530,0.4751
AA.BOON,AA,10.9604,41.6123,3.3750,1.7366,2.0069,26.7665,28.5507,25.1951,1.1628,3.3556,mean,0.8427,0.4665,0.3542,0.2942,0.0634,0.9542,0.7630,0.9198,-0.2830,-0.1231
AA.BOON,AA,10.9604,41.6123,3.3750,1.7366,2.0069,26.7665,28.5507,25.1951,1.1628,3.3556,median,0.8427,0.4665,0.3542,0.2942,0.0634,0.9542,0.7630,0.9198,-0.2830,-0.1231
AA.CENTRAL_CUSHITIC,AA,9.9736,38.8871,3.2056,1.6989,1.9204,18.7461,21.7903,16.1818,1.9559,5.6086,mean,-0.4795,-0.1625,-0.4756,-0.2844,-0.7114,-0.8616,-0.8574,-0.6693,0.2845,0.3393
AA.CENTRAL_CUSHITIC,AA,9.9774,39.1279,3.1914,1.6900,1.9238,18.3537,21.0488,16.2575,1.9106,5.4626,median,-0.4747,-0.1065,-0.5431,-0.4173,-0.6810,-0.9213,-0.9898,-0.6596,0.2599,0.3154
AA.DAHALO,AA,10.5585,42.0899,3.3031,1.6988,2.0129,26.2142,27.7967,24.2579,1.2773,3.5388,mean,0.2889,0.5758,-0.0030,-0.2860,0.1173,0.7870,0.5425,0.7078,-0.1770,-0.0755
AA.DAHALO,AA,10.8262,42.9973,3.3800,1.7209,2.0344,26.2142,27.7967,24.2579,1.2773,3.5388,median,0.6555,0.7829,0.3793,0.0493,0.3106,0.7870,0.5425,0.7078,-0.1770,-0.0755
AA.DIZOID,AA,9.9942,39.1696,3.2153,1.6598,1.9902,22.0847,24.6028,20.1968,1.6038,4.4060,mean,-0.4532,-0.0969,-0.4291,-0.8535,-0.0868,-0.2538,-0.2775,-0.0776,0.0735,0.1214
AA.DIZOID,AA,10.1625,39.8657,3.2498,1.6631,2.0114,23.1978,25.6701,21.3385,1.6041,4.3380,median,-0.2362,0.0644,-0.2626,-0.8062,0.1038,-0.0074,-0.0234,0.1226,0.0736,0.1074
AA.EAST_CHADIC,AA,10.1513,38.8795,3.2170,1.6828,1.9722,28.1539,32.8442,25.0696,2.7208,7.7745,mean,-0.2508,-0.1643,-0.4209,-0.5225,-0.2480,1.4064,2.2300,0.8907,0.6209,0.6357
AA.EAST_CHADIC,AA,10.1450,39.1264,3.1982,1.6757,1.9724,28.2901,32.8536,25.1398,2.7286,7.6879,median,-0.2589,-0.1069,-0.5107,-0.6263,-0.2461,1.4534,2.2337,0.9069,0.6238,0.6255
AA.EGYPTIAN-COPTIC,AA,10.1299,38.8611,3.1647,1.6813,1.9296,24.5540,32.3386,14.3946,6.6498,17.9440,mean,-0.2785,-0.1685,-0.6696,-0.5449,-0.6291,0.3259,2.0378,-0.8826,1.4479,1.4042
AA.EGYPTIAN-COPTIC,AA,10.1299,38.8611,3.1647,1.6813,1.9296,24.5540,32.3386,14.3946,6.6498,17.9440,median,-0.2785,-0.1685,-0.6696,-0.5449,-0.6291,0.3259,2.0378,-0.8826,1.4479,1.4042
AA.HIGHLAND_EAST_CUSHITIC,AA,10.7603,43.2537,3.3603,1.7246,2.0293,18.0132,20.2989,16.2627,1.4141,4.0362,mean,0.5644,0.8412,0.2806,0.1072,0.2646,-0.9713,-1.1153,-0.6590,-0.0639,0.0426
AA.HIGHLAND_EAST_CUSHITIC,AA,10.8903,43.7077,3.3985,1.7333,2.0419,17.7355,20.0360,15.9463,1.4505,4.0897,median,0.7446,0.9443,0.4724,0.2423,0.3781,-1.0108,-1.1574,-0.6991,-0.0360,0.0544
AA.LOWLAND_EAST_CUSHITIC,AA,10.3259,41.0011,3.2606,1.6798,1.9817,24.3652,26.8806,22.1447,1.6692,4.7359,mean,-0.0220,0.3262,-0.2104,-0.5667,-0.1628,0.2772,0.2888,0.2734,0.1164,0.1865
AA.LOWLAND_EAST_CUSHITIC,AA,10.4350,42.1959,3.3007,1.6864,1.9939,25.3485,27.4830,21.8550,1.6165,4.5646,median,0.1230,0.6001,-0.0149,-0.4703,-0.0533,0.5390,0.4539,0.2183,0.0820,0.1533
AA.MASA,AA,9.9739,37.8244,3.1769,1.6638,1.9679,27.7193,32.0176,24.8296,2.4730,7.1880,mean,-0.4791,-0.4102,-0.6117,-0.7964,-0.2868,1.2597,1.9186,0.8357,0.5254,0.5643
AA.MASA,AA,9.8100,36.0825,3.1475,1.6522,1.9590,27.7642,32.0663,24.8485,2.4624,7.2178,median,-0.6866,-0.8194,-0.7504,-0.9612,-0.3661,1.2746,1.9365,0.8400,0.5211,0.5681
AA.ONGOTA,AA,10.7280,47.0779,3.3295,1.6623,2.0812,21.3981,23.9445,19.2224,1.6668,4.7220,mean,0.5199,1.7030,0.1274,-0.8176,0.7316,-0.3943,-0.4247,-0.2367,0.1149,0.1839
