doculect name,longitude,latitude,classification,meaning count,word count,index0,index1,index2,index3,index4
Bedja Bedawi,36.0,19.0,AA.BEJA,31,67,9.9989,38.8868,3.1505,1.6608,1.9164
Beja,36.0,18.0,AA.BEJA,38,39,9.9249,39.2879,3.1266,1.6473,1.9230
Beja 2,36.0,18.0,AA.BEJA,40,49,10.5131,42.1610,3.2775,1.7017,1.9800
Awjilah,21.0,29.0,AA.BERBER,33,33,8.9571,31.4309,3.0050,1.6220,1.8658
Ayt Seghrouchen,-4.67,33.33,AA.BERBER,33,34,8.6096,27.4235,2.7207,1.5677,1.6884
Beni Snous Western Algerian Berber,-1.64,34.62,AA.BERBER,39,39,8.7180,29.1930,2.9093,1.5965,1.8154
Chaoui,7.0,35.0,AA.BERBER,34,39,8.7060,30.6340,2.8232,1.5605,1.7751
Chenoua,2.2,36.59,AA.BERBER,39,48,9.3881,32.3187,2.9663,1.6285,1.8304
Figuig,-1.5,32.5,AA.BERBER,38,38,8.8650,30.8412,2.9740,1.6234,1.8356
Foqaha,16.35,27.83,AA.BERBER,34,34,9.3299,34.1364,3.0997,1.6471,1.9096
Ghadames,9.5,30.13,AA.BERBER,38,38,10.0602,40.2752,3.1798,1.6971,1.9171
Ghadames 2,9.5,30.13,AA.BERBER,39,40,9.7900,34.7019,3.1973,1.6987,1.9310
Ghomara,-4.96,35.31,AA.BERBER,38,38,9.6046,38.6195,3.0666,1.6486,1.8768
Jebel Nefusa,11.79,31.86,AA.BERBER,30,30,9.1451,31.6362,2.9534,1.5994,1.8521
Kabyle,5.0,36.05,AA.BERBER,38,38,9.5122,33.5241,3.1309,1.6709,1.9039
Kabyle Greater Kabylia At Mangellat,5.0,36.05,AA.BERBER,39,41,9.0009,30.9582,2.9814,1.6233,1.8351
Nafusi,12.0,32.0,AA.BERBER,39,39,8.7194,30.5558,2.9512,1.6059,1.8408
Ouargla Berber,5.33,31.92,AA.BERBER,40,40,8.2849,27.6998,2.7634,1.5631,1.7431
Sened,9.44,34.47,AA.BERBER,37,47,8.8747,30.1283,2.8939,1.6052,1.8012
Senhaja De Srair,-4.56,34.91,AA.BERBER,40,40,9.4077,35.7048,3.0286,1.6209,1.8691
Senhayi,-4.18,34.45,AA.BERBER,28,28,8.7784,28.9948,2.7118,1.5739,1.6963
Siwa Berber,25.5,29.17,AA.BERBER,39,39,8.5376,30.0162,2.8531,1.5884,1.7823
Siwi,25.5,29.17,AA.BERBER,34,35,9.0542,33.0686,3.0150,1.6248,1.8642
Tamahaq Tahaggart,6.0,23.0,AA.BERBER,40,40,10.0454,41.4810,3.2274,1.6818,1.9686
Tamahaq Tahaggart 2,6.0,23.0,AA.BERBER,40,41,9.9359,37.9100,3.2834,1.7133,1.9797
Tamajeq Tayart Air,8.0,16.0,AA.BERBER,40,40,9.1142,34.8320,3.0660,1.6302,1.9087
Tamasheq,-0.25,14.05,AA.BERBER,40,40,9.6317,37.7947,3.1566,1.6585,1.9523
Tamasheq 2,-1.0,19.0,AA.BERBER,27,49,10.2072,38.3884,3.2327,1.6810,1.9968
Tamazight Central Atlas Ayt Izdeg,-4.4,33.2,AA.BERBER,39,39,9.6925,34.0695,3.1308,1.6570,1.9303
Tamazight Central Atlas Ayt Ndhir,-4.4,33.2,AA.BERBER,40,40,9.1029,31.1905,2.9428,1.6109,1.8345
Tamazight Central Atlas Ntifa,-4.4,33.2,AA.BERBER,38,38,8.6162,28.6838,2.7903,1.5981,1.7144
Tarifit Beni Iznassen,-4.0,34.05,AA.BERBER,40,40,9.0826,30.9477,2.9934,1.6240,1.8484
Tarifit Guelaia,-4.0,34.5,AA.BERBER,40,40,8.7996,30.9769,2.8683,1.5743,1.8279
Tashelhit Ida Usemlal,-9.61,29.53,AA.BERBER,40,40,8.3141,30.1210,2.6918,1.5665,1.6821
Taznatit,0.02,29.11,AA.BERBER,28,32,8.9758,31.4513,2.8775,1.5938,1.7727
Tetserret,6.27,15.45,AA.BERBER,33,33,9.1916,35.5053,3.0457,1.6128,1.9083
Tumzabt,3.05,32.05,AA.BERBER,40,40,8.7821,30.3220,2.9231,1.6056,1.8146
Wargla,5.32,31.95,AA.BERBER,30,30,8.3289,26.0178,2.6672,1.5533,1.6772
Zenaga,-16.0,17.33,AA.BERBER,37,37,8.3344,32.4784,2.8450,1.5593,1.8229
Zenaga 2,-16.0,17.33,AA.BERBER,40,43,8.9379,30.9296,2.9765,1.6219,1.8611
Afade,15.33,11.33,AA.BIU-MANDARA,25,25,10.4020,41.6231,3.2864,1.6793,2.0129
Bacama,11.65,9.4,AA.BIU-MANDARA,35,38,10.3513,39.8025,3.3293,1.6938,2.0017
Bacama Mulyen,12.0,9.5,AA.BIU-MANDARA,35,36,10.1487,36.7721,3.1778,1.6456,1.9793
Bana,13.35,10.25,AA.BIU-MANDARA,35,39,9.7321,34.2301,3.2691,1.7123,1.9631
Bana 2,13.65,10.36,AA.BIU-MANDARA,30,32,9.4894,32.7542,3.1183,1.6733,1.9039
